corner,offset_fs,final_q,resolution_ns
ss,-1000.00,1.0000,0.2701
ss,-500.00,1.0000,0.3311
ss,-200.00,1.0000,0.4326
ss,-100.00,1.0000,0.5201
ss,-50.00,1.0000,0.6121
ss,-20.00,1.0000,0.7361
ss,-10.00,1.0000,0.8306
ss,-5.00,1.0000,0.9251
ss,-2.00,1.0000,1.0491
ss,-1.00,1.0000,1.1396
ss,+1.00,0.0000,1.3636
ss,+2.00,0.0000,1.2611
ss,+5.00,0.0000,1.1311
ss,+10.00,0.0000,1.0346
ss,+20.00,0.0000,0.9396
ss,+50.00,0.0000,0.8156
ss,+100.00,0.0000,0.7235
ss,+200.00,0.0000,0.6341
ss,+500.00,0.0000,0.5201
ss,+1000.00,0.0000,0.4386
