corner,offset_ps,final_q,resolution_ns
tt,-46.50,1.0000,0.0000
tt,-45.50,1.0000,0.0000
tt,-44.50,1.0000,0.0000
tt,-43.50,1.0000,0.0000
tt,-42.50,1.0000,0.0000
tt,-41.50,1.0000,0.0000
tt,-40.50,1.0000,0.0000
tt,-39.50,1.0000,0.0000
tt,-38.50,1.0000,0.0000
tt,-37.50,1.0000,0.0000
tt,-36.50,1.0000,0.0000
tt,-35.50,1.0000,0.0000
tt,-34.50,1.0000,0.0000
tt,-33.50,1.0000,0.0000
tt,-32.50,1.0000,0.0000
tt,-31.50,1.0000,0.0000
tt,-30.50,1.0000,0.0000
tt,-29.50,1.0000,0.0000
tt,-28.50,1.0000,0.0000
tt,-27.50,1.0000,0.0000
tt,-26.50,1.0000,0.0000
tt,-25.50,1.0000,0.0000
tt,-24.50,1.0000,0.0000
tt,-23.50,1.0000,0.0000
tt,-22.50,1.0000,0.0000
tt,-21.50,1.0000,0.0000
tt,-20.50,1.0000,0.0000
tt,-19.50,1.0000,0.0000
tt,-18.50,1.0000,0.0000
tt,-17.50,1.0000,0.0000
tt,-16.50,1.0000,0.0000
tt,-15.50,1.0000,0.0000
tt,-14.50,1.0000,0.0000
tt,-13.50,1.0000,0.0000
tt,-12.50,1.0000,0.0000
tt,-11.50,1.0000,0.0000
tt,-10.50,1.0000,0.0000
tt,-9.50,1.0000,0.0000
tt,-8.50,1.0000,0.0000
tt,-7.50,1.0000,0.0000
tt,-6.50,1.0000,0.0000
tt,-5.50,1.0000,0.0000
tt,-4.50,1.0000,0.0000
tt,-3.50,1.0000,0.0000
tt,-2.50,1.0000,0.0000
tt,-1.50,1.0000,0.0000
tt,-0.50,1.0000,0.0000
tt,0.50,0.0000,0.0000
tt,1.50,-0.0000,0.0000
tt,2.50,0.0000,0.0000
tt,3.50,0.0000,0.0000
tt,4.50,-0.0000,0.0000
tt,5.50,-0.0000,0.0000
tt,6.50,0.0000,0.0000
tt,7.50,0.0000,0.0000
tt,8.50,0.0000,0.0000
tt,9.50,0.0000,0.0000
tt,10.50,0.0000,0.0000
tt,11.50,-0.0000,0.0000
tt,12.50,-0.0000,0.0000
tt,13.50,-0.0000,0.0000
tt,14.50,-0.0000,0.0000
tt,15.50,-0.0000,0.0000
tt,16.50,0.0000,0.0000
tt,17.50,0.0000,0.0000
tt,18.50,0.0000,0.0000
tt,19.50,-0.0000,0.0000
tt,20.50,0.0000,0.0000
tt,21.50,-0.0000,0.0000
tt,22.50,-0.0000,0.0000
tt,23.50,-0.0000,0.0000
tt,24.50,-0.0000,0.0000
tt,25.50,0.0000,0.0000
tt,26.50,-0.0000,0.0000
tt,27.50,-0.0000,0.0000
tt,28.50,0.0000,0.0000
tt,29.50,0.0000,0.0000
tt,30.50,0.0000,0.0000
tt,31.50,-0.0000,0.0000
tt,32.50,0.0000,0.0000
tt,33.50,0.0000,0.0000
tt,34.50,-0.0000,0.0000
tt,35.50,-0.0000,0.0000
tt,36.50,0.0000,0.0000
tt,37.50,0.0000,0.0000
tt,38.50,0.0000,0.0000
tt,39.50,0.0000,0.0000
tt,40.50,-0.0000,0.0000
tt,41.50,0.0000,0.0000
tt,42.50,0.0000,0.0000
tt,43.50,0.0000,0.0000
tt,44.50,-0.0000,0.0000
tt,45.50,-0.0000,0.0000
tt,46.50,0.0000,0.0000
tt,47.50,0.0000,0.0000
tt,48.50,0.0000,0.0000
tt,49.50,0.0000,0.0000
tt,50.50,-0.0000,0.0000
tt,51.50,0.0000,0.0000
tt,52.50,0.0000,0.0000
tt,53.50,0.0000,0.0000
tt,54.50,-0.0000,0.0000
tt,55.50,-0.0000,0.0000
tt,56.50,0.0000,0.0000
tt,57.50,0.0000,0.0000
tt,58.50,0.0000,0.0000
tt,59.50,-0.0000,0.0000
tt,60.50,-0.0000,0.0000
tt,61.50,0.0000,0.0000
tt,62.50,0.0000,0.0000
tt,63.50,0.0000,0.0000
tt,64.50,-0.0000,0.0000
tt,65.50,-0.0000,0.0000
tt,66.50,0.0000,0.0000
tt,67.50,0.0000,0.0000
tt,68.50,-0.0000,0.0000
tt,69.50,-0.0000,0.0000
tt,70.50,-0.0000,0.0000
tt,71.50,0.0000,0.0000
tt,72.50,0.0000,0.0000
tt,73.50,0.0000,0.0000
tt,74.50,-0.0000,0.0000
tt,75.50,-0.0000,0.0000
tt,76.50,0.0000,0.0000
tt,77.50,0.0000,0.0000
tt,78.50,-0.0000,0.0000
tt,79.50,-0.0000,0.0000
tt,80.50,-0.0000,0.0000
tt,81.50,0.0000,0.0000
tt,82.50,0.0000,0.0000
tt,83.50,0.0000,0.0000
tt,84.50,-0.0000,0.0000
tt,85.50,-0.0000,0.0000
tt,86.50,0.0000,0.0000
tt,87.50,0.0000,0.0000
tt,88.50,-0.0000,0.0000
tt,89.50,-0.0000,0.0000
tt,90.50,-0.0000,0.0000
tt,91.50,0.0000,0.0000
tt,92.50,0.0000,0.0000
tt,93.50,0.0000,0.0000
